city,bedrooms,price,sqft,year_built
San Francisco,2,1250000,950,1985
Austin,3,485000,1850,2010
New York,1,890000,720,1972
Seattle,3,720000,1680,2005
Denver,4,550000,2200,2015
San Francisco,3,1650000,1300,1990
Austin,4,620000,2400,2018
New York,2,1100000,900,1965
Seattle,2,580000,1200,1998
Denver,3,410000,1750,2008
Chicago,3,380000,1900,2000
Los Angeles,2,950000,1100,1988
Portland,3,490000,1650,2012
Boston,2,780000,1050,1975
Phoenix,4,420000,2500,2019
San Francisco,1,820000,620,1978
Austin,2,350000,1400,2016
New York,3,1450000,1400,1968
Seattle,4,890000,2100,2007
Denver,2,320000,1300,2011
Chicago,2,290000,1450,2003
Los Angeles,3,1200000,1650,1995
Portland,2,380000,1250,2009
Boston,3,920000,1600,1980
Phoenix,3,360000,2000,2017
San Francisco,4,2100000,1800,1992
Austin,3,530000,2000,2014
New York,2,980000,850,1970
Seattle,3,650000,1550,2002
Denver,4,480000,2350,2016
Chicago,4,450000,2300,2006
Los Angeles,4,1550000,2200,1998
Portland,4,560000,2100,2013
Boston,4,1100000,2000,1982
Phoenix,2,280000,1600,2020
San Francisco,2,1380000,1050,1987
Austin,4,710000,2600,2020
New York,1,750000,650,1975
Seattle,2,490000,1100,1995
Denver,3,375000,1600,2009
Chicago,3,340000,1750,2001
Los Angeles,2,880000,1000,1992
Portland,3,445000,1500,2010
Boston,2,710000,950,1978
Phoenix,4,395000,2250,2018
San Francisco,3,1820000,1400,1994
Austin,2,390000,1550,2017
New York,4,1750000,1700,1966
Seattle,4,820000,2000,2004
Denver,2,295000,1250,2012
Chicago,2,265000,1350,2004
Los Angeles,3,1080000,1500,1996
Portland,2,350000,1200,2011
Boston,3,850000,1500,1977
Phoenix,3,330000,1900,2016
San Francisco,1,740000,580,1980
Austin,3,575000,2150,2019
New York,3,1320000,1350,1969
Seattle,3,700000,1700,2006
Denver,4,520000,2280,2014
Chicago,4,420000,2200,2007
Los Angeles,4,1400000,2100,2000
Portland,4,510000,2050,2015
Boston,4,1050000,1950,1983
Phoenix,2,255000,1500,2021
San Francisco,2,1180000,900,1986
Austin,4,665000,2450,2021
New York,2,1020000,880,1973
Seattle,2,540000,1150,1999
Denver,3,390000,1700,2010
Chicago,3,315000,1650,2002
Los Angeles,2,820000,980,1990
Portland,3,420000,1400,2008
Boston,2,740000,1000,1979
Phoenix,4,370000,2150,2017
San Francisco,3,1950000,1500,1996
Austin,2,420000,1650,2018
New York,1,680000,600,1977
Seattle,4,960000,2200,2008
Denver,2,310000,1200,2013
Chicago,2,280000,1400,2005
Los Angeles,3,1150000,1600,1997
Portland,2,365000,1300,2012
Boston,3,880000,1550,1981
Phoenix,3,345000,1950,2019
San Francisco,4,2250000,1900,1993
Austin,3,600000,2250,2022
New York,3,1480000,1450,1967
Seattle,3,675000,1600,2003
Denver,4,500000,2300,2015
Chicago,4,435000,2250,2008
Los Angeles,4,1480000,2150,1999
Portland,4,535000,2000,2014
Boston,4,1080000,2000,1984
Phoenix,2,270000,1550,2022
San Francisco,2,1290000,980,1988
Austin,2,370000,1500,2016
New York,2,1060000,870,1971
Seattle,2,520000,1120,1997
Denver,3,400000,1750,2011
Chicago,3,360000,1800,2003
Los Angeles,2,900000,1050,1993
